,loss,val_loss,lr
0,67685.625,53912.3046875,0.001
1,58376.2734375,61125.6171875,0.001
2,59649.18359375,51578.1875,0.001
3,58136.14453125,54447.65234375,0.001
4,59194.53125,58200.69140625,0.001
5,59192.34375,64791.8125,0.001
6,57851.828125,61106.10546875,0.001
7,59734.703125,50127.18359375,0.001
8,59728.94140625,62797.4453125,0.001
9,59113.203125,61320.19921875,0.001
10,57452.40625,63203.5234375,0.001
11,58302.78515625,54015.76171875,0.001
12,59640.6328125,59797.296875,0.001
13,58023.765625,61331.5625,0.001
14,58934.19921875,59788.3515625,0.001
15,58798.02734375,54950.99609375,0.001
16,57448.12890625,57880.23046875,0.001
17,59471.71484375,53537.34765625,0.001
18,29852.857421875,34662.921875,0.0005
19,28592.267578125,32169.1328125,0.0005
20,29332.55859375,32478.80078125,0.0005
21,29458.716796875,32638.298828125,0.0005
22,29649.05859375,25795.7890625,0.0005
23,29441.4296875,25945.783203125,0.0005
24,29137.732421875,31735.1875,0.0005
25,29382.17578125,25542.46875,0.0005
26,29083.60546875,28505.79296875,0.0005
27,29821.1953125,27957.064453125,0.0005
28,28668.130859375,31089.6796875,0.0005
29,29204.140625,24640.6796875,0.0005
30,29694.3515625,30380.14453125,0.0005
31,29419.451171875,27351.400390625,0.0005
32,29529.24609375,24430.40234375,0.0005
33,28865.296875,27409.4375,0.0005
34,28756.669921875,29980.39453125,0.0005
35,29179.279296875,28680.53515625,0.0005
36,29462.150390625,25176.8828125,0.0005
37,28917.712890625,27610.37890625,0.0005
38,28966.421875,27081.345703125,0.0005
39,29092.2421875,24648.68359375,0.0005
40,29486.41796875,30569.6640625,0.0005
41,29437.951171875,25765.71484375,0.0005
42,28872.06640625,28838.4765625,0.0005
43,15246.6630859375,14235.83203125,0.00025
44,14312.4140625,14857.3974609375,0.00025
45,14619.61328125,13996.990234375,0.00025
46,14656.7666015625,13896.6923828125,0.00025
47,14072.2724609375,14211.474609375,0.00025
48,14807.919921875,12178.814453125,0.00025
49,14515.4921875,14153.81640625,0.00025
50,14692.2021484375,14607.5107421875,0.00025
51,14608.2412109375,14501.0556640625,0.00025
52,14842.0712890625,16235.400390625,0.00025
53,14475.6416015625,18111.453125,0.00025
54,14529.5302734375,14783.7001953125,0.00025
55,14543.9892578125,12845.2841796875,0.00025
56,14356.7548828125,13441.9931640625,0.00025
57,14566.4814453125,14776.31640625,0.00025
58,14442.4208984375,13391.6025390625,0.00025
59,7500.40234375,7261.0634765625,0.000125
60,7321.47509765625,8783.4326171875,0.000125
61,7234.189453125,6586.3818359375,0.000125
62,7288.1171875,6783.31591796875,0.000125
63,7246.3857421875,6552.51318359375,0.000125
64,7221.95166015625,6371.443359375,0.000125
65,7147.75732421875,6258.2138671875,0.000125
66,7281.07373046875,6764.15478515625,0.000125
67,7244.73876953125,7009.61181640625,0.000125
68,7302.15869140625,6645.025390625,0.000125
69,7208.6171875,6982.44189453125,0.000125
70,7426.5517578125,7034.509765625,0.000125
71,7217.33544921875,6798.0107421875,0.000125
72,7347.5703125,6509.7861328125,0.000125
73,7406.86376953125,7455.00927734375,0.000125
74,7355.53759765625,7317.83740234375,0.000125
75,7405.24267578125,7280.5107421875,0.000125
76,3784.863037109375,3581.5400390625,6.25e-05
77,3643.23486328125,3764.436279296875,6.25e-05
78,3632.7197265625,3463.0458984375,6.25e-05
79,3648.52685546875,3523.858642578125,6.25e-05
80,3698.026123046875,2965.11572265625,6.25e-05
81,3618.571533203125,3645.860107421875,6.25e-05
82,3685.777099609375,4006.777587890625,6.25e-05
83,3615.99365234375,3905.82421875,6.25e-05
84,3629.233642578125,3611.931640625,6.25e-05
85,3700.165771484375,3499.5419921875,6.25e-05
86,3661.40087890625,3786.8447265625,6.25e-05
87,3677.876220703125,3384.727783203125,6.25e-05
88,3667.796630859375,3392.11767578125,6.25e-05
89,3713.394775390625,3396.196044921875,6.25e-05
90,3663.72216796875,3624.844970703125,6.25e-05
91,1893.75439453125,1796.7353515625,3.125e-05
92,1802.7379150390625,1746.60205078125,3.125e-05
93,1827.05029296875,1868.4439697265625,3.125e-05
94,1828.1416015625,1825.8800048828125,3.125e-05
95,1867.2281494140625,1774.22802734375,3.125e-05
96,1821.452880859375,1798.9608154296875,3.125e-05
97,1819.292236328125,1515.6976318359375,3.125e-05
98,1842.756591796875,1932.3638916015625,3.125e-05
99,1806.923095703125,1587.494384765625,3.125e-05
