,loss,val_loss,lr
0,642.239501953125,638.01171875,3.125e-05
1,649.4266967773438,734.8665161132812,3.125e-05
2,672.2252197265625,770.4940185546875,3.125e-05
3,634.4815063476562,630.8137817382812,3.125e-05
4,638.2118530273438,806.5926513671875,3.125e-05
5,666.4365234375,733.2562255859375,3.125e-05
6,656.212158203125,588.3377075195312,3.125e-05
7,656.0499877929688,631.9959716796875,3.125e-05
8,643.1652221679688,635.7177124023438,3.125e-05
9,647.2052001953125,572.6802368164062,3.125e-05
10,665.76611328125,641.2517700195312,3.125e-05
11,655.96044921875,674.9757690429688,3.125e-05
12,653.1785888671875,585.8087768554688,3.125e-05
13,662.0687255859375,636.7774658203125,3.125e-05
14,645.1305541992188,678.0519409179688,3.125e-05
15,659.9171752929688,579.005126953125,3.125e-05
16,670.7735595703125,695.8787841796875,3.125e-05
17,648.4891357421875,757.3347778320312,3.125e-05
18,659.0171508789062,680.5989990234375,3.125e-05
19,663.093994140625,678.5161743164062,3.125e-05
20,351.9599914550781,392.7178649902344,1.5625e-05
21,351.6299743652344,319.6502990722656,1.5625e-05
22,361.6817932128906,374.15966796875,1.5625e-05
23,352.6253356933594,380.4646301269531,1.5625e-05
24,354.55145263671875,327.5418395996094,1.5625e-05
25,361.8080749511719,363.35107421875,1.5625e-05
26,360.9634094238281,352.1329040527344,1.5625e-05
27,354.1297607421875,404.0930480957031,1.5625e-05
28,359.0306396484375,411.690673828125,1.5625e-05
29,350.9725341796875,359.74676513671875,1.5625e-05
30,359.9879455566406,371.0231628417969,1.5625e-05
31,355.1062927246094,345.84991455078125,1.5625e-05
32,218.24864196777344,217.73927307128906,7.8125e-06
33,216.92942810058594,212.57424926757812,7.8125e-06
34,213.46775817871094,225.95619201660156,7.8125e-06
35,209.1442108154297,214.1944122314453,7.8125e-06
36,214.86122131347656,201.6256866455078,7.8125e-06
37,213.1126251220703,231.0025634765625,7.8125e-06
38,216.04722595214844,212.3971405029297,7.8125e-06
39,210.9468231201172,207.90818786621094,7.8125e-06
40,207.9174041748047,200.67135620117188,7.8125e-06
41,207.68287658691406,213.83364868164062,7.8125e-06
42,209.9228515625,223.60263061523438,7.8125e-06
43,210.83653259277344,241.2987060546875,7.8125e-06
44,213.6129608154297,232.3796844482422,7.8125e-06
45,215.97906494140625,223.86181640625,7.8125e-06
46,208.26165771484375,205.4271240234375,7.8125e-06
47,216.7038116455078,241.2389373779297,7.8125e-06
48,211.28782653808594,238.19338989257812,7.8125e-06
49,209.858642578125,226.4234619140625,7.8125e-06
50,216.66502380371094,202.0289764404297,7.8125e-06
51,145.36062622070312,150.5231170654297,3.90625e-06
52,142.93606567382812,149.75149536132812,3.90625e-06
53,145.44821166992188,140.04531860351562,3.90625e-06
54,143.29580688476562,142.05516052246094,3.90625e-06
55,145.48141479492188,140.60311889648438,3.90625e-06
56,145.05364990234375,151.62429809570312,3.90625e-06
57,144.16065979003906,140.31849670410156,3.90625e-06
58,143.0327606201172,152.0056915283203,3.90625e-06
59,144.084716796875,139.3105010986328,3.90625e-06
60,143.33993530273438,140.41436767578125,3.90625e-06
61,145.3822479248047,145.2650909423828,3.90625e-06
62,145.40936279296875,140.7515106201172,3.90625e-06
63,144.84767150878906,144.46463012695312,3.90625e-06
64,145.28599548339844,157.67825317382812,3.90625e-06
65,145.8723602294922,147.39865112304688,3.90625e-06
66,146.6405029296875,135.4725799560547,3.90625e-06
67,145.75936889648438,143.563232421875,3.90625e-06
68,146.12564086914062,146.85182189941406,3.90625e-06
69,143.63792419433594,147.81455993652344,3.90625e-06
70,145.3111572265625,152.49920654296875,3.90625e-06
71,147.83514404296875,160.78271484375,3.90625e-06
72,145.18215942382812,146.95481872558594,3.90625e-06
73,145.41429138183594,148.86895751953125,3.90625e-06
74,145.61785888671875,147.04110717773438,3.90625e-06
75,144.07559204101562,158.52264404296875,3.90625e-06
76,146.28958129882812,151.95933532714844,3.90625e-06
77,112.99412536621094,111.34400177001953,1.953125e-06
78,112.52884674072266,119.6461181640625,1.953125e-06
79,112.69283294677734,112.40092468261719,1.953125e-06
80,112.64599609375,116.2725830078125,1.953125e-06
81,113.01270294189453,113.30034637451172,1.953125e-06
82,113.1441421508789,113.56526184082031,1.953125e-06
83,112.43501281738281,116.8272476196289,1.953125e-06
84,112.41490173339844,109.79753112792969,1.953125e-06
85,113.64393615722656,114.56014251708984,1.953125e-06
86,113.65331268310547,114.27454376220703,1.953125e-06
87,113.47579956054688,113.49495697021484,1.953125e-06
88,113.19851684570312,116.10082244873047,1.953125e-06
89,113.48748779296875,108.2087631225586,1.953125e-06
90,113.20530700683594,117.54957580566406,1.953125e-06
91,113.89913940429688,115.64727020263672,1.953125e-06
92,113.97052001953125,113.77838897705078,1.953125e-06
93,113.7275161743164,118.02017974853516,1.953125e-06
94,113.56970977783203,111.70702362060547,1.953125e-06
95,113.01509857177734,114.88695526123047,1.953125e-06
96,114.337158203125,118.27571868896484,1.953125e-06
97,114.3560562133789,115.12411499023438,1.953125e-06
98,113.16605377197266,114.01651763916016,1.953125e-06
99,114.46154022216797,115.04325866699219,1.953125e-06
